question,answer,category
토요일에도 진료하나요?,"토요일 진료는 병원별로 다르며, 일반적으로 오전 진료만 운영됩니다. 정확한 시간은 병원 홈페이지 또는 예약센터를 확인해주세요.",진료시간
일요일에도 진료하나요?,"대부분의 병원은 일요일에 휴진하지만, 응급실이나 일부 당직 진료는 운영될 수 있습니다. 방문 전 확인이 필요합니다.",진료시간
공휴일에도 병원 문 여나요?,공휴일 진료 여부는 병원마다 다릅니다. 응급실은 운영되는 경우가 많지만 외래 진료는 휴진일 수 있으니 사전 확인해주세요.,진료시간
진료 예약은 어떻게 하나요?,"진료 예약은 병원 홈페이지, 모바일 앱, 전화 예약센터, 방문 접수를 통해 가능합니다. 병원마다 예약 방법이 다를 수 있습니다.",예약
예약은 어떻게 하나요?,"진료 예약은 병원 홈페이지, 모바일 앱, 전화 예약센터, 방문 접수를 통해 가능합니다. 병원마다 예약 방법이 다를 수 있습니다.",예약
전화로 예약 가능한가요?,"네, 전화 예약센터를 통해 진료 예약이 가능합니다. 병원이나 진료과에 따라 전화 예약 가능 시간이 다를 수 있습니다.",예약
예약 없이 진료받을 수 있나요?,"예약 없이도 접수 가능한 경우가 있지만, 대기 시간이 길어질 수 있습니다. 가능하면 사전 예약을 권장합니다.",예약
진료 예약을 변경하고 싶어요.,"예약 변경은 병원 홈페이지, 앱, 전화 예약센터를 통해 가능합니다. 변경 가능 시간은 병원 정책에 따라 다를 수 있습니다.",예약
예약 취소는 어떻게 하나요?,"예약 취소는 홈페이지, 앱, 전화 예약센터에서 가능합니다. 당일 취소는 제한될 수 있으니 미리 확인해주세요.",예약
초진도 예약이 가능한가요?,대부분의 병원은 초진 예약이 가능합니다. 다만 일부 진료과는 의뢰서나 사전 상담이 필요할 수 있습니다.,예약
진료 접수는 몇 시부터 가능한가요?,접수 시작 시간은 병원과 진료과에 따라 다릅니다. 일반적으로 오전 진료 전부터 접수가 시작됩니다.,접수
외래 진료 시간은 어떻게 되나요?,외래 진료 시간은 병원별로 다르지만 보통 평일 오전과 오후에 운영됩니다. 정확한 시간표는 병원 홈페이지를 확인해주세요.,진료시간
점심시간에도 진료하나요?,대부분의 병원은 점심시간에 외래 진료가 중단됩니다. 진료과별 점심시간이 다를 수 있으니 확인이 필요합니다.,진료시간
야간 진료가 있나요?,일부 병원이나 진료과에서는 야간 진료를 운영합니다. 운영 요일과 시간은 병원마다 다르므로 사전 확인해주세요.,진료시간
