query,expected_question
예약 변경하고 싶어요,진료 예약을 변경하고 싶어요.
예약을 취소하려면 어떻게 해요?,예약 취소는 어떻게 하나요?
전화로 에약 가능한가요?,전화로 예약 가능한가요?
토요일 진료해요?,토요일에도 진료하나요?
일요일에 문 여나요?,일요일에도 진료하나요?
응급실 밤에도 하나요?,응급실은 24시간 운영하나요?
진료비 카드 결제 되나요?,진료비는 어떻게 결제하나요?
영수증 다시 받을 수 있어요?,진료비 영수증을 재발급받을 수 있나요?
진단서 어디서 발급해요?,진단서 발급은 어떻게 하나요?
처방전 다시 받을 수 있나요?,처방전 재발급이 가능한가요?
검진 전에 금식해야 하나요?,건강검진 전 금식해야 하나요?
위내시경 예약하려면 어떻게 해요?,위내시경 예약이 가능한가요?
MRI 찍으려면 예약해야 돼요?,MRI 검사는 예약이 필요한가요?
코로나 검사 받을 수 있나요?,코로나 검사도 하나요?
아이도 진료 받을 수 있나요?,아이 진료도 가능한가요?
허리가 아픈데 어느 과로 가요?,허리 통증은 어느 과로 가야 하나요?
입원 절차가 궁금해요,입원하려면 어떻게 해야 하나요?
면회 시간이 궁금합니다,면회 시간이 어떻게 되나요?
주차장 있나요?,주차는 가능한가요?
휠체어 빌릴 수 있나요?,휠체어 대여가 가능한가요?
